courseCode,title,cycle,section,credits,session,grading,teacher,language,grade,numReviews
str,str,str,str,int,str,str,str,str,float,int
COM-102,"Advanced information,  computation,  communication II",propedeutics,IN,7,Summer,Written,Gastpar,EN,0.0,0
MATH-106(en),Analysis II,propedeutics,MA,6,Summer,Written,Marcus,EN,0.0,0
MATH-106(e),Analysis II,propedeutics,MA,6,Summer,Written,Lachowska,FR,0.0,0
CS-101,"Advanced information,  computation,  communication I",propedeutics,IN,7,Winter,Written,Aberer,EN,0.0,0
MATH-101(en),Analysis I,propedeutics,MA,6,Winter,Written,Svaldi,EN,0.0,0
MATH-101(pi),Analysis I,propedeutics,MA,6,Winter,Written,Deparis,FR,0.0,0
MATH-101(de),Analysis I,propedeutics,MA,6,Winter,Written,Kressner,DE,0.0,0
MATH-101(g),Analysis I,propedeutics,MA,6,Winter,Written,Chizat,FR,0.0,0
PHYS-101(en),General physics : mechanics,propedeutics,PH,6,Winter,Written,Manley,EN,0.0,0
PHYS-101(g),General physics : mechanics,propedeutics,PH,6,Winter,Written,Brantut,FR,0.0,0
MATH-111(en),Linear algebra,propedeutics,MA,6,Winter,Written,Maddocks,EN,0.0,0
MATH-111(pi),Linear algebra,propedeutics,MA,6,Winter,Written,Urech,FR,0.0,0
MATH-111(g),Linear Algebra,propedeutics,MA,6,Winter,Written,Zuleta Estrugo,FR,0.0,0
,Global issues: Propedeutic BA2 ,propedeutics,SHS,2,Summer,,Divers enseignants,FR,0.0,0
CS-173,Digital system design,propedeutics,IN,6,Summer,During the semester,Kluter,EN,0.0,0
CS-107,Introduction to programming,propedeutics,IN,5,Winter,During the semester,Sam,FR,0.0,0
CS-108,Practice of object-oriented programming,propedeutics,IN,9,Summer,During the semester,Schinz,FR,0.0,0
MATH-106(f),Analysis II,propedeutics,MA,6,Summer,Written,Rüegg-Reymond,FR,0.0,0
PHYS-106(en),General physics : thermodynamics,propedeutics,PH,6,Summer,Written,Rahi,EN,0.0,0
PHYS-106(h),General physics : thermodynamics,propedeutics,PH,6,Summer,Written,Furno,FR,0.0,0
MATH-101(f),Analysis I,propedeutics,MA,6,Winter,Written,Strütt,FR,0.0,0
PHYS-101(h),General physics : mechanics,propedeutics,PH,6,Winter,Written,Hébert,FR,0.0,0
PHYS-101(j),General physics : mechanics,propedeutics,PH,6,Winter,Written,Kneib,FR,0.0,0
MATH-111(f),Linear Algebra,propedeutics,MA,6,Winter,Written,Candil,FR,0.0,0
CH-160(en),Advanced general chemistry,propedeutics,CGC,6,Winter,Written,"Rizzo, Terrettaz",EN,0.0,0
CH-160(e),Advanced general chemistry,propedeutics,CGC,6,Winter,Written,Terrettaz,FR,0.0,0
BIOENG-110,General Biology,propedeutics,SV,6,Summer,Written,"Gräff, Radtke, Schoonjans, Simanis",FR,0.0,0
CS-119(g),"Information,  Computation,  Communication",propedeutics,IN,6,Winter,During the semester,"Jobstmann, Sam",FR,0.0,0
CS-112(i),Object oriented programming,propedeutics,IN,5,Summer,During the semester,Sam,FR,0.0,0
CH-112,Organic chemistry ,propedeutics,CGC,5,Summer,Written,Zakeeruddin,EN,0.0,0
MATH-106(a),Analysis II,propedeutics,MA,6,Summer,Written,Monod,FR,0.0,0
PHYS-106(a),General physics : thermodynamics,propedeutics,PH,6,Summer,Written,"Houdré, Hébert",FR,0.0,0
MATH-123(b),Geometry ,propedeutics,MA,3,Summer,Written,Wyss,FR,0.0,0
CIVIL-124,Statics I,propedeutics,GC,4,Summer,Written,Beyer,FR,0.0,0
MATH-101(a),Analysis I,propedeutics,MA,6,Winter,Written,Vela Arevalo,FR,0.0,0
PHYS-101(a),General physics : mechanics,propedeutics,PH,6,Winter,Written,Hogge,FR,0.0,0
MATH-111(a),Linear Algebra,propedeutics,MA,6,Winter,Written,Friedli,FR,0.0,0
CH-160(b),General chemistry,propedeutics,CGC,3,Winter,Written,Terrettaz,FR,0.0,0
CS-119(h),"Information,  Computation,  Communication",propedeutics,IN,6,Winter,During the semester,"Lévêque, Pellet",FR,0.0,0
MSE-171,Materials,propedeutics,MX,6,Summer,Written,"Boehm Courjault, Drezet, Dénéréaz, Scrivener, Sofia",FR,0.0,0
CIVIL-122,Structures I,propedeutics,GC,3,Winter,During the semester,Burdet,FR,0.0,0
CIVIL-123,Structures II,propedeutics,GC,3,Summer,During the semester,Burdet,FR,0.0,0
HUM-121(a),Global issues: climate A,propedeutics,SHS,2,Summer,During the semester,"Fragnière, Grazioli",FR,0.0,0
HUM-121(b),Global issues: climate B,propedeutics,SHS,2,Summer,During the semester,"Randin, Thalmann",FR/EN,0.0,0
HUM-122(a),Global issues: communication A,propedeutics,SHS,2,Summer,During the semester,"Bendahan, Gillet",FR,0.0,0
HUM-122(b),Global issues: communication B,propedeutics,SHS,2,Summer,During the semester,"Jobin, Larus",FR/EN,0.0,0
HUM-123(a),Global issues: energy A,propedeutics,SHS,2,Summer,During the semester,"Gaudard, Testa",FR,0.0,0
HUM-123(b),Global issues: energy B,propedeutics,SHS,2,Summer,During the semester,"Nguyen, Steinberger",FR,0.0,0
HUM-120(a),Global issues: food A,propedeutics,SHS,2,Summer,During the semester,"Feige, Fincoeur, Rezzi",FR/EN,0.0,0
HUM-120(b),Global issues: food B,propedeutics,SHS,2,Summer,During the semester,"Canto Alvarez, Stauber",FR/EN,0.0,0
